locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPGKPABH_00001	CDS	615	oadB1_1	7.2.4.2		Oxaloacetate decarboxylase beta chain 1
OPGKPABH_00002	CDS	699	citG_1	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
OPGKPABH_00003	CDS	1071	degS	3.4.21.107	COG0265	Serine endoprotease DegS
OPGKPABH_00004	CDS	1368	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
OPGKPABH_00005	CDS	399	zapG		COG3105	Z-ring associated protein G
OPGKPABH_00006	CDS	1125	zapE		COG1485	Cell division protein ZapE
OPGKPABH_00007	CDS	429	rplM		COG0102	Large ribosomal subunit protein uL13
OPGKPABH_00008	CDS	393	rpsI			Small ribosomal subunit protein uS9
OPGKPABH_00009	CDS	639	sspA		COG0625	Stringent starvation protein A
OPGKPABH_00010	CDS	501	sspB		COG2969	Stringent starvation protein B
OPGKPABH_00011	CDS	783	nanR		COG2186	HTH-type transcriptional repressor NanR
OPGKPABH_00012	CDS	894	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
OPGKPABH_00013	CDS	1491	nanT		COG2814	Sialic acid transporter NanT
OPGKPABH_00014	CDS	690	nanE2	5.1.3.9		Putative N-acetylmannosamine-6-phosphate 2-epimerase 2
OPGKPABH_00015	CDS	876	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
OPGKPABH_00016	CDS	468	nanQ_1		COG2731	N-acetylneuraminate anomerase NanQ
OPGKPABH_00017	CDS	1281	codA	3.5.4.1	COG0402	Cytosine deaminase
OPGKPABH_00018	CDS	1254	codB		COG1457	Cytosine permease
OPGKPABH_00019	CDS	1104	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
OPGKPABH_00020	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
OPGKPABH_00021	CDS	4461	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
OPGKPABH_00022	CDS	930				hypothetical protein
OPGKPABH_00023	CDS	2337	arcB	2.7.13.3	COG0784	Aerobic respiration control sensor protein ArcB
OPGKPABH_00024	CDS	654	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
OPGKPABH_00025	CDS	729	mtgA	2.4.99.28	COG0744	Biosynthetic peptidoglycan transglycosylase
OPGKPABH_00026	CDS	633	yrbL		COG0515	putative protein YrbL
OPGKPABH_00027	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
OPGKPABH_00028	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
OPGKPABH_00029	CDS	492	ptsN		COG1762	Nitrogen regulatory protein
OPGKPABH_00030	CDS	288	hpf_1		COG1544	Ribosome hibernation promoting factor
OPGKPABH_00031	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
OPGKPABH_00032	CDS	726	lptB_1	7.5.2.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OPGKPABH_00033	CDS	555	lptA		COG1934	Lipopolysaccharide export system protein LptA
OPGKPABH_00034	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
OPGKPABH_00035	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
OPGKPABH_00036	CDS	987	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
OPGKPABH_00037	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
OPGKPABH_00038	CDS	813	mlaF	7.6.2.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
OPGKPABH_00039	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
OPGKPABH_00040	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
OPGKPABH_00041	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
OPGKPABH_00042	CDS	297	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
OPGKPABH_00043	CDS	294	ibaG		COG5007	Acid stress protein IbaG
OPGKPABH_00044	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
OPGKPABH_00045	CDS	288				hypothetical protein
OPGKPABH_00046	CDS	1113	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
OPGKPABH_00047	CDS	312	rplU		COG0261	Large ribosomal subunit protein bL21
OPGKPABH_00048	CDS	258	rpmA		COG0211	Large ribosomal subunit protein bL27
OPGKPABH_00049	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
OPGKPABH_00050	CDS	1173	obg	3.6.5.-		GTPase Obg
OPGKPABH_00051	CDS	1434	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
OPGKPABH_00052	CDS	102				hypothetical protein
OPGKPABH_00053	CDS	477	greA		COG0782	Transcription elongation factor GreA
OPGKPABH_00054	CDS	333	yhbY		COG1534	RNA-binding protein YhbY
OPGKPABH_00055	CDS	627	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
OPGKPABH_00056	CDS	1944	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
OPGKPABH_00057	CDS	849	folP	2.5.1.15	COG0294	Dihydropteroate synthase
OPGKPABH_00058	CDS	1338	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
OPGKPABH_00059	CDS	333	secG		COG1314	Protein-export membrane protein SecG
OPGKPABH_00060	tRNA	87				tRNA-Leu(gag)
OPGKPABH_00061	CDS	1065				hypothetical protein
OPGKPABH_00062	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
OPGKPABH_00063	tRNA	77				tRNA-Met(cat)
OPGKPABH_00064	CDS	423	rimP		COG0779	Ribosome maturation factor RimP
OPGKPABH_00065	CDS	1503	nusA		COG0195	Transcription termination/antitermination protein NusA
OPGKPABH_00066	CDS	2679	infB		COG0532	Translation initiation factor IF-2
OPGKPABH_00067	CDS	402	rbfA		COG0858	30S ribosome-binding factor
OPGKPABH_00068	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
OPGKPABH_00069	CDS	270	rpsO		COG0184	Small ribosomal subunit protein uS15
OPGKPABH_00070	CDS	2166	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
OPGKPABH_00071	CDS	885	nlpI		COG4785	Lipoprotein NlpI
