#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_11_length_150055_cov_72.521370	67258	68624	-	cpxA	1-1367/1374	===============	0/0	99.49	85.30	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_13_length_133927_cov_66.285932	5357	6895	-	emrB	1-1539/1539	===============	0/0	100.00	84.34	card	U00096.1:2812615-2814154	emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.	fluoroquinolone
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_13_length_133927_cov_66.285932	6912	8084	-	emrA	1-1173/1173	========/======	2/2	99.91	82.45	card	AP009048.1:2810082-2811255	EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.	fluoroquinolone
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_13_length_133927_cov_66.285932	8211	8741	-	emrR	1-531/531	===============	0/0	100.00	85.50	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_15_length_111584_cov_59.920184	102186	103829	+	YojI	1-1644/1644	========/======	7/10	99.70	80.35	card	U00096.3:2308615-2306971	YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.	peptide
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_17_length_100758_cov_60.564694	59908	63021	+	acrD	1-3114/3114	========/======	2/2	99.97	81.86	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_1_length_583681_cov_67.456894	177457	178274	+	bacA	1-818/822	========/======	2/2	99.39	85.84	card	U00096.3:3204131-3203309	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_1_length_583681_cov_67.456894	198819	200275	-	TolC	1-1466/1488	========/======	2/9	97.92	81.51	card	FJ768952.1:0-1488	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.	aminocoumarin;aminoglycoside;carbapenem;cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;macrolide;penicillin_beta-lactam;peptide;phenicol;rifamycin;tetracycline
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_21_length_74111_cov_59.298566	44291	46039	+	msbA	1-1749/1749	===============	0/0	100.00	84.91	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_2_length_511481_cov_63.218283	39253	39925	+	kdpE	1-673/678	========/======	2/2	99.12	81.45	card	U00096.3:721733-721055	kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.	aminoglycoside
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_2_length_511481_cov_63.218283	166905	167259	-	ramA	21-375/375	===============	0/0	94.67	80.00	card	JQ727668.1:0-375	RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.	carbapenem;cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;monobactam;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/home/charles/Bioinformatics/Projects/salmonella-wgs-pipeline/results/assembly/contigs.fasta	NODE_2_length_511481_cov_63.218283	304298	305491	+	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	83.17	card	U00096.3:485619-484425	AcrA is a subunit of the AcrAB-TolC multidrug efflux system found in E. coli.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
